radar_id,interval_start_time,altitude_band,number_of_measurements,avg_u_speed,avg_v_speed,avg_bird_density
KBUF,2010-09-09 04:40:00+00,2,14,0,0,0
KCBW,2010-09-09 04:40:00+00,1,14,0,0,0
KCBW,2010-09-09 04:40:00+00,2,14,0,0,0
KBOX,2010-09-09 05:00:00+00,1,14,0,0,0
KBOX,2010-09-09 05:00:00+00,2,14,0,0,0
KCXX,2010-09-09 05:00:00+00,1,14,1.03753,-2.51394,8.74630
KCXX,2010-09-09 05:00:00+00,2,14,0,0,0
KENX,2010-09-09 05:00:00+00,1,14,0,0,0
KENX,2010-09-09 05:00:00+00,2,14,0,0,0
KGYX,2010-09-09 05:00:00+00,1,14,-1.97614,-3.89955,5.47527
KGYX,2010-09-09 05:00:00+00,2,14,0,0,0
KOKX,2010-09-09 05:00:00+00,1,14,0,0,0
KOKX,2010-09-09 05:00:00+00,2,14,0,0,0
KBGM,2010-09-09 05:20:00+00,1,14,1.41009,-2.81227,1.59646
KBGM,2010-09-09 05:20:00+00,2,14,0,0,0
KBUF,2010-09-09 05:20:00+00,1,14,-0.95215,-8.26347,11.07198
KBUF,2010-09-09 05:20:00+00,2,14,0,0,0
KCCX,2010-09-09 05:20:00+00,1,14,0,0,0
KCCX,2010-09-09 05:20:00+00,2,14,0,0,0
KDIX,2010-09-09 05:20:00+00,1,14,-2.61584,-4.89900,2.40838
KDIX,2010-09-09 05:20:00+00,2,14,0,0,0
KDOX,2010-09-09 05:20:00+00,1,14,1.51110,-3.93859,2.04188
KDOX,2010-09-09 05:20:00+00,2,14,0,0,0
KLWX,2010-09-09 05:20:00+00,1,14,-0.94810,-1.51127,5.56652
KLWX,2010-09-09 05:20:00+00,2,14,0,0,0
KTYX,2010-09-09 05:20:00+00,1,14,0,0,0
KTYX,2010-09-09 05:20:00+00,2,14,0,0,0
KCBW,2010-09-09 05:40:00+00,1,14,0,0,0
KCBW,2010-09-09 05:40:00+00,2,14,0,0,0
KBOX,2010-09-09 06:00:00+00,1,14,0,0,0
KBOX,2010-09-09 06:00:00+00,2,14,0,0,0
KCXX,2010-09-09 06:00:00+00,1,14,1.59515,-1.40794,4.59619
KCXX,2010-09-09 06:00:00+00,2,14,0,0,0
KDIX,2010-09-09 06:00:00+00,1,14,-2.23749,-3.62146,1.02907
KDIX,2010-09-09 06:00:00+00,2,14,0,0,0
KENX,2010-09-09 06:00:00+00,1,14,0,0,0
KENX,2010-09-09 06:00:00+00,2,14,0,0,0
KGYX,2010-09-09 06:00:00+00,1,14,-4.12834,-4.42101,2.90106
KGYX,2010-09-09 06:00:00+00,2,14,0,0,0
KOKX,2010-09-09 06:00:00+00,1,14,0,0,0
KOKX,2010-09-09 06:00:00+00,2,14,0,0,0
KBGM,2010-09-09 06:20:00+00,1,14,0,0,0
KBGM,2010-09-09 06:20:00+00,2,14,0,0,0
KBUF,2010-09-09 06:20:00+00,1,14,-0.14886,-6.54404,2.04734
KBUF,2010-09-09 06:20:00+00,2,14,0,0,0
KCCX,2010-09-09 06:20:00+00,1,14,0,0,0
KCCX,2010-09-09 06:20:00+00,2,14,0,0,0
KDOX,2010-09-09 06:20:00+00,1,14,2.10911,-3.67718,2.11796
KDOX,2010-09-09 06:20:00+00,2,14,0,0,0
KLWX,2010-09-09 06:20:00+00,1,14,-0.91110,-1.20844,1.66456
KLWX,2010-09-09 06:20:00+00,2,14,0,0,0
KTYX,2010-09-09 06:20:00+00,1,14,0,0,0
KTYX,2010-09-09 06:20:00+00,2,14,0,0,0
KCBW,2010-09-09 06:40:00+00,1,14,0,0,0
KCBW,2010-09-09 06:40:00+00,2,14,0,0,0
KBOX,2010-09-09 07:00:00+00,1,14,0,0,0
KBOX,2010-09-09 07:00:00+00,2,14,0,0,0
KCXX,2010-09-09 07:00:00+00,1,14,0,0,0
KCXX,2010-09-09 07:00:00+00,2,14,0,0,0
KENX,2010-09-09 07:00:00+00,1,14,0,0,0
KENX,2010-09-09 07:00:00+00,2,14,0,0,0
KGYX,2010-09-09 07:00:00+00,1,14,-5.35663,-4.43402,2.23339
KGYX,2010-09-09 07:00:00+00,2,14,0,0,0
KOKX,2010-09-09 07:00:00+00,1,14,0,0,0
KOKX,2010-09-09 07:00:00+00,2,14,0,0,0
KBGM,2010-09-09 07:20:00+00,1,14,0,0,0
KBGM,2010-09-09 07:20:00+00,2,14,0,0,0
KBUF,2010-09-09 07:20:00+00,1,14,0,0,0
KBUF,2010-09-09 07:20:00+00,2,14,0,0,0
KCCX,2010-09-09 07:20:00+00,1,14,0,0,0
KCCX,2010-09-09 07:20:00+00,2,14,0,0,0
KDIX,2010-09-09 07:20:00+00,1,14,0,0,0
KDIX,2010-09-09 07:20:00+00,2,14,0,0,0
KDOX,2010-09-09 07:20:00+00,1,14,0,0,0
KDOX,2010-09-09 07:20:00+00,2,14,0,0,0
KLWX,2010-09-09 07:20:00+00,1,14,-1.54744,-1.35710,1.53250
KLWX,2010-09-09 07:20:00+00,2,14,0,0,0
KTYX,2010-09-09 07:20:00+00,1,14,0,0,0
KTYX,2010-09-09 07:20:00+00,2,14,0,0,0
KCBW,2010-09-09 07:40:00+00,1,14,0,0,0
KCBW,2010-09-09 07:40:00+00,2,14,0,0,0
KBOX,2010-09-09 08:00:00+00,1,14,0,0,0
KBOX,2010-09-09 08:00:00+00,2,14,0,0,0
KCXX,2010-09-09 08:00:00+00,1,14,0,0,0
KCXX,2010-09-09 08:00:00+00,2,14,0,0,0
KDIX,2010-09-09 08:00:00+00,1,14,0,0,0
KDIX,2010-09-09 08:00:00+00,2,14,0,0,0
KDOX,2010-09-09 08:00:00+00,1,14,0,0,0
KDOX,2010-09-09 08:00:00+00,2,14,0,0,0
KENX,2010-09-09 08:00:00+00,1,14,0,0,0
KENX,2010-09-09 08:00:00+00,2,14,0,0,0
KGYX,2010-09-09 08:00:00+00,1,14,0,0,0
KGYX,2010-09-09 08:00:00+00,2,14,0,0,0
KOKX,2010-09-09 08:00:00+00,1,14,0,0,0
KOKX,2010-09-09 08:00:00+00,2,14,0,0,0
KBGM,2010-09-09 08:20:00+00,1,14,0,0,0
KBGM,2010-09-09 08:20:00+00,2,14,0,0,0
KBUF,2010-09-09 08:20:00+00,1,14,0,0,0
KBUF,2010-09-09 08:20:00+00,2,14,0,0,0
KCCX,2010-09-09 08:20:00+00,1,14,0,0,0
KCCX,2010-09-09 08:20:00+00,2,14,0,0,0
KLWX,2010-09-09 08:20:00+00,1,14,0,0,0
KLWX,2010-09-09 08:20:00+00,2,14,0,0,0
KTYX,2010-09-09 08:20:00+00,1,14,0,0,0
KTYX,2010-09-09 08:20:00+00,2,14,0,0,0
KCBW,2010-09-09 08:40:00+00,1,14,0,0,0
KCBW,2010-09-09 08:40:00+00,2,14,0,0,0
KBOX,2010-09-09 09:00:00+00,1,14,0,0,0
KBOX,2010-09-09 09:00:00+00,2,14,0,0,0
KCXX,2010-09-09 09:00:00+00,1,14,0,0,0
KCXX,2010-09-09 09:00:00+00,2,14,0,0,0
KDIX,2010-09-09 09:00:00+00,1,14,0,0,0
KDIX,2010-09-09 09:00:00+00,2,14,0,0,0
KENX,2010-09-09 09:00:00+00,1,14,0,0,0
KENX,2010-09-09 09:00:00+00,2,14,0,0,0
KGYX,2010-09-09 09:00:00+00,1,14,0,0,0
KGYX,2010-09-09 09:00:00+00,2,14,0,0,0
KOKX,2010-09-09 09:00:00+00,1,14,0,0,0
KOKX,2010-09-09 09:00:00+00,2,14,0,0,0
KBGM,2010-09-09 09:20:00+00,1,14,0,0,0
KBGM,2010-09-09 09:20:00+00,2,14,0,0,0
KCCX,2010-09-09 09:20:00+00,1,14,0,0,0
KCCX,2010-09-09 09:20:00+00,2,14,0,0,0
KDOX,2010-09-09 09:20:00+00,1,14,0,0,0
KDOX,2010-09-09 09:20:00+00,2,14,0,0,0
KLWX,2010-09-09 09:20:00+00,1,14,0,0,0
KLWX,2010-09-09 09:20:00+00,2,14,0,0,0
KTYX,2010-09-09 09:20:00+00,1,14,0,0,0
KTYX,2010-09-09 09:20:00+00,2,14,0,0,0
KBUF,2010-09-09 09:40:00+00,1,14,0,0,0
KBUF,2010-09-09 09:40:00+00,2,14,0,0,0
KCBW,2010-09-09 09:40:00+00,1,14,0,0,0
KCBW,2010-09-09 09:40:00+00,2,14,0,0,0
KBOX,2010-09-09 10:00:00+00,1,14,0,0,0
KBOX,2010-09-09 10:00:00+00,2,14,0,0,0
KCXX,2010-09-09 10:00:00+00,1,14,0,0,0
KCXX,2010-09-09 10:00:00+00,2,14,0,0,0
KENX,2010-09-09 10:00:00+00,1,14,0,0,0
KENX,2010-09-09 10:00:00+00,2,14,0,0,0
KGYX,2010-09-09 10:00:00+00,1,14,0,0,0
KGYX,2010-09-09 10:00:00+00,2,14,0,0,0
KOKX,2010-09-09 10:00:00+00,1,14,0,0,0
KOKX,2010-09-09 10:00:00+00,2,14,0,0,0
KBGM,2010-09-09 10:20:00+00,1,14,0,0,0
KBGM,2010-09-09 10:20:00+00,2,14,0,0,0
KCCX,2010-09-09 10:20:00+00,1,14,0,0,0
KCCX,2010-09-09 10:20:00+00,2,14,0,0,0
KDIX,2010-09-09 10:20:00+00,1,14,0,0,0
KDIX,2010-09-09 10:20:00+00,2,14,0,0,0
KDOX,2010-09-09 10:20:00+00,1,14,3.55973,-6.60284,3.99204
KDOX,2010-09-09 10:20:00+00,2,14,0,0,0
KLWX,2010-09-09 10:20:00+00,1,14,0,0,0
KLWX,2010-09-09 10:20:00+00,2,14,0,0,0
KTYX,2010-09-09 10:20:00+00,1,14,0,0,0
KTYX,2010-09-09 10:20:00+00,2,14,0,0,0
KBUF,2010-09-09 10:40:00+00,1,14,0,0,0
KBUF,2010-09-09 10:40:00+00,2,14,0,0,0
KCBW,2010-09-09 22:40:00+00,1,14,0,0,0
KCBW,2010-09-09 22:40:00+00,2,14,0,0,0
KGYX,2010-09-09 22:40:00+00,1,14,0,0,0
KGYX,2010-09-09 22:40:00+00,2,14,0,0,0
KBOX,2010-09-09 23:00:00+00,1,14,0,0,0
KBOX,2010-09-09 23:00:00+00,2,14,0,0,0
KCXX,2010-09-09 23:00:00+00,1,14,-0.98822,1.02294,1.77568
KCXX,2010-09-09 23:00:00+00,2,14,0,0,0
KDIX,2010-09-09 23:00:00+00,1,14,0,0,0
KDIX,2010-09-09 23:00:00+00,2,14,0,0,0
KENX,2010-09-09 23:00:00+00,1,14,0,0,0
KENX,2010-09-09 23:00:00+00,2,14,0,0,0
KOKX,2010-09-09 23:00:00+00,1,14,0,0,0
KOKX,2010-09-09 23:00:00+00,2,14,0,0,0
KBGM,2010-09-09 23:20:00+00,1,14,0,0,0
KBGM,2010-09-09 23:20:00+00,2,14,0,0,0
KBUF,2010-09-09 23:20:00+00,1,14,0,0,0
KBUF,2010-09-09 23:20:00+00,2,14,0,0,0
KCCX,2010-09-09 23:20:00+00,1,14,0,0,0
KCCX,2010-09-09 23:20:00+00,2,14,0,0,0
KDOX,2010-09-09 23:20:00+00,1,14,0,0,0
KDOX,2010-09-09 23:20:00+00,2,14,0,0,0
KLWX,2010-09-09 23:20:00+00,1,14,0,0,0
KLWX,2010-09-09 23:20:00+00,2,14,0,0,0
KTYX,2010-09-09 23:20:00+00,1,14,0,0,0
KTYX,2010-09-09 23:20:00+00,2,14,0,0,0
KCBW,2010-09-09 23:40:00+00,1,14,-7.03335,-3.64724,2.27996
KCBW,2010-09-09 23:40:00+00,2,14,0,0,0
KBOX,2010-09-10 00:00:00+00,1,14,-4.78864,-3.88348,1.40206
KBOX,2010-09-10 00:00:00+00,2,14,0,0,0
KCXX,2010-09-10 00:00:00+00,1,14,-4.42142,-0.40702,10.65331
KCXX,2010-09-10 00:00:00+00,2,14,0,0,0
KDOX,2010-09-10 00:00:00+00,1,14,0.67235,-4.83441,9.95090
KDOX,2010-09-10 00:00:00+00,2,14,0,0,0
KENX,2010-09-10 00:00:00+00,1,14,0,0,0
KENX,2010-09-10 00:00:00+00,2,14,0,0,0
KGYX,2010-09-10 00:00:00+00,1,14,-4.60849,-5.37740,14.53289
KGYX,2010-09-10 00:00:00+00,2,14,0,0,0
KOKX,2010-09-10 00:00:00+00,1,14,0,0,0
KOKX,2010-09-10 00:00:00+00,2,14,-2.74826,-4.50561,4.09165
KBGM,2010-09-10 00:20:00+00,1,14,0,0,0
KBGM,2010-09-10 00:20:00+00,2,14,0,0,0
KBUF,2010-09-10 00:20:00+00,1,14,-4.34571,-4.42437,3.95325
KBUF,2010-09-10 00:20:00+00,2,14,0,0,0
KCCX,2010-09-10 00:20:00+00,1,14,-2.87082,-4.86257,1.36009
KCCX,2010-09-10 00:20:00+00,2,14,0,0,0
KDIX,2010-09-10 00:20:00+00,1,14,-2.82746,-3.30316,2.39514
KDIX,2010-09-10 00:20:00+00,2,14,0,0,0
KLWX,2010-09-10 00:20:00+00,1,14,-0.85301,-4.69343,6.18837
KLWX,2010-09-10 00:20:00+00,2,14,0,0,0
KTYX,2010-09-10 00:20:00+00,1,14,0,0,0
KTYX,2010-09-10 00:20:00+00,2,14,0,0,0
KCBW,2010-09-10 00:40:00+00,1,14,-7.90986,-4.34989,12.27696
KCBW,2010-09-10 00:40:00+00,2,14,0,0,0
KBOX,2010-09-10 01:00:00+00,1,14,0,0,0
KBOX,2010-09-10 01:00:00+00,2,14,0,0,0
KCXX,2010-09-10 01:00:00+00,1,14,-4.04554,-1.92063,27.76825
KCXX,2010-09-10 01:00:00+00,2,14,0,0,0
KDIX,2010-09-10 01:00:00+00,1,14,-1.32468,-3.73305,4.67468
KDIX,2010-09-10 01:00:00+00,2,14,0,0,0
KENX,2010-09-10 01:00:00+00,1,14,0,0,0
KENX,2010-09-10 01:00:00+00,2,14,0,0,0
KGYX,2010-09-10 01:00:00+00,1,14,-3.30468,-5.33066,13.80234
KGYX,2010-09-10 01:00:00+00,2,14,0,0,0
KOKX,2010-09-10 01:00:00+00,1,14,0,0,0
KOKX,2010-09-10 01:00:00+00,2,14,0,0,0
KBGM,2010-09-10 01:20:00+00,1,14,0,0,0
KBGM,2010-09-10 01:20:00+00,2,14,0,0,0
KBUF,2010-09-10 01:20:00+00,1,14,0,0,0
KBUF,2010-09-10 01:20:00+00,2,14,0,0,0
KCCX,2010-09-10 01:20:00+00,1,14,-3.90028,-4.18831,2.79912
KCCX,2010-09-10 01:20:00+00,2,14,0,0,0
KDOX,2010-09-10 01:20:00+00,1,14,-2.98917,-5.77334,17.79216
KDOX,2010-09-10 01:20:00+00,2,14,0,0,0
KLWX,2010-09-10 01:20:00+00,1,14,1.12701,-5.75701,17.17500
KLWX,2010-09-10 01:20:00+00,2,14,0,0,0
KTYX,2010-09-10 01:20:00+00,1,14,0,0,0
KTYX,2010-09-10 01:20:00+00,2,14,0,0,0
KCBW,2010-09-10 01:40:00+00,1,14,-4.85959,-3.26292,4.79059
KCBW,2010-09-10 01:40:00+00,2,14,0,0,0
KBOX,2010-09-10 02:00:00+00,1,14,-3.78170,-3.81376,2.05359
KBOX,2010-09-10 02:00:00+00,2,14,0,0,0
KCXX,2010-09-10 02:00:00+00,1,14,-3.74318,-1.88299,46.88220
KCXX,2010-09-10 02:00:00+00,2,14,0,0,0
KDIX,2010-09-10 02:00:00+00,1,14,-2.41996,-4.58397,7.82797
KDIX,2010-09-10 02:00:00+00,2,14,0,0,0
KENX,2010-09-10 02:00:00+00,1,14,3.24001,-2.70569,2.86433
KENX,2010-09-10 02:00:00+00,2,14,0,0,0
KGYX,2010-09-10 02:00:00+00,1,14,-0.14951,-3.95076,6.65019
KGYX,2010-09-10 02:00:00+00,2,14,0,0,0
KOKX,2010-09-10 02:00:00+00,1,14,0,0,0
KOKX,2010-09-10 02:00:00+00,2,14,0,0,0
KBGM,2010-09-10 02:20:00+00,1,14,0,0,0
KBGM,2010-09-10 02:20:00+00,2,14,0,0,0
KBUF,2010-09-10 02:20:00+00,1,14,-0.22166,-2.14456,11.33394
KBUF,2010-09-10 02:20:00+00,2,14,0,0,0
KCCX,2010-09-10 02:20:00+00,1,14,0.11964,-2.94994,1.84710
KCCX,2010-09-10 02:20:00+00,2,14,0,0,0
KDOX,2010-09-10 02:20:00+00,1,14,-1.69224,-5.65716,32.15040
KDOX,2010-09-10 02:20:00+00,2,14,0,0,0
KLWX,2010-09-10 02:20:00+00,1,14,1.26796,-7.31696,10.54633
KLWX,2010-09-10 02:20:00+00,2,14,0,0,0
KTYX,2010-09-10 02:20:00+00,1,14,0,0,0
KTYX,2010-09-10 02:20:00+00,2,14,0,0,0
KBOX,2010-09-10 03:00:00+00,1,14,-5.77497,-4.45579,5.19882
KBOX,2010-09-10 03:00:00+00,2,14,0,0,0
KCXX,2010-09-10 03:00:00+00,1,14,-2.72469,-1.20474,22.27571
KCXX,2010-09-10 03:00:00+00,2,14,0,0,0
KENX,2010-09-10 03:00:00+00,1,14,0.58044,-3.30579,4.94118
KENX,2010-09-10 03:00:00+00,2,14,0,0,0
KGYX,2010-09-10 03:00:00+00,1,14,-2.65796,-4.22854,16.56774
KGYX,2010-09-10 03:00:00+00,2,14,0,0,0
KOKX,2010-09-10 03:00:00+00,1,14,-4.81973,-2.29565,1.32490
KOKX,2010-09-10 03:00:00+00,2,14,0,0,0
KBGM,2010-09-10 03:20:00+00,1,14,0,0,0
KBGM,2010-09-10 03:20:00+00,2,14,0,0,0
KCCX,2010-09-10 03:20:00+00,1,14,0,0,0
KCCX,2010-09-10 03:20:00+00,2,14,0,0,0
KDIX,2010-09-10 03:20:00+00,1,14,-4.86517,-4.57925,9.06591
KDIX,2010-09-10 03:20:00+00,2,14,0,0,0
KDOX,2010-09-10 03:20:00+00,1,14,-1.42751,-6.19175,21.35484
KDOX,2010-09-10 03:20:00+00,2,14,0,0,0
KLWX,2010-09-10 03:20:00+00,1,14,-0.40445,-7.87084,11.80332
KLWX,2010-09-10 03:20:00+00,2,14,0,0,0
KTYX,2010-09-10 03:20:00+00,1,14,0,0,0
KTYX,2010-09-10 03:20:00+00,2,14,0,0,0
KBUF,2010-09-10 03:40:00+00,1,14,-4.42867,-3.39749,12.05006
KBUF,2010-09-10 03:40:00+00,2,14,0,0,0
KCBW,2010-09-10 03:40:00+00,1,14,0,0,0
KCBW,2010-09-10 03:40:00+00,2,14,0,0,0
KGYX,2010-09-10 03:40:00+00,1,14,-2.59066,-3.56091,2.47622
KGYX,2010-09-10 03:40:00+00,2,14,0,0,0
KBOX,2010-09-10 04:00:00+00,1,14,-5.99631,-3.64281,1.86665
KBOX,2010-09-10 04:00:00+00,2,14,0,0,0
KCXX,2010-09-10 04:00:00+00,1,14,-2.14812,-2.33151,50.68245
KCXX,2010-09-10 04:00:00+00,2,14,0,0,0
KDIX,2010-09-10 04:00:00+00,1,14,0,0,0
KDIX,2010-09-10 04:00:00+00,2,14,-2.62431,-1.79531,1.53254
KENX,2010-09-10 04:00:00+00,1,14,0,0,0
KENX,2010-09-10 04:00:00+00,2,14,0,0,0
KOKX,2010-09-10 04:00:00+00,1,14,-5.13090,-2.81621,2.98008
KOKX,2010-09-10 04:00:00+00,2,14,0,0,0
KBGM,2010-09-10 04:20:00+00,1,14,0,0,0
KBGM,2010-09-10 04:20:00+00,2,14,0,0,0
KCCX,2010-09-10 04:20:00+00,1,14,0,0,0
KCCX,2010-09-10 04:20:00+00,2,14,0,0,0
KDOX,2010-09-10 04:20:00+00,1,14,-1.17229,-5.42736,11.84358
KDOX,2010-09-10 04:20:00+00,2,14,0,0,0
KLWX,2010-09-10 04:20:00+00,1,14,-2.08589,-8.03176,9.82146
KLWX,2010-09-10 04:20:00+00,2,14,0,0,0
KTYX,2010-09-10 04:20:00+00,1,14,0,0,0
KTYX,2010-09-10 04:20:00+00,2,14,0,0,0
KBUF,2010-09-10 04:40:00+00,1,14,-1.73649,-3.68651,16.68940
KBUF,2010-09-10 04:40:00+00,2,14,0,0,0
KCBW,2010-09-10 04:40:00+00,1,14,0,0,0
KCBW,2010-09-10 04:40:00+00,2,14,0,0,0
KBOX,2010-09-10 05:00:00+00,1,14,0,0,0
KBOX,2010-09-10 05:00:00+00,2,14,0,0,0
KCXX,2010-09-10 05:00:00+00,1,14,-2.69076,-4.35329,74.60111
KCXX,2010-09-10 05:00:00+00,2,14,0,0,0
KDIX,2010-09-10 05:00:00+00,1,14,-5.16326,-4.14501,5.84894
KDIX,2010-09-10 05:00:00+00,2,14,-3.85050,-4.45308,1.87821
KDOX,2010-09-10 05:00:00+00,1,14,-2.09406,-5.62175,9.67881
KDOX,2010-09-10 05:00:00+00,2,14,0,0,0
KENX,2010-09-10 05:00:00+00,1,14,0,0,0
KENX,2010-09-10 05:00:00+00,2,14,0,0,0
KGYX,2010-09-10 05:00:00+00,1,14,0,0,0
KGYX,2010-09-10 05:00:00+00,2,14,0,0,0
KOKX,2010-09-10 05:00:00+00,1,14,-3.72761,-4.14318,5.35379
KOKX,2010-09-10 05:00:00+00,2,14,0,0,0
KBGM,2010-09-10 05:20:00+00,1,14,0,0,0
KBGM,2010-09-10 05:20:00+00,2,14,0,0,0
KBUF,2010-09-10 05:20:00+00,1,14,-1.77841,-4.08334,20.86862
KBUF,2010-09-10 05:20:00+00,2,14,0,0,0
KCCX,2010-09-10 05:20:00+00,1,14,0,0,0
KCCX,2010-09-10 05:20:00+00,2,14,0,0,0
KLWX,2010-09-10 05:20:00+00,1,14,-1.68500,-6.86736,4.09895
KLWX,2010-09-10 05:20:00+00,2,14,0,0,0
KTYX,2010-09-10 05:20:00+00,1,14,0,0,0
KTYX,2010-09-10 05:20:00+00,2,14,0,0,0
KCBW,2010-09-10 05:40:00+00,1,14,0,0,0
KCBW,2010-09-10 05:40:00+00,2,14,0,0,0
KBOX,2010-09-10 06:00:00+00,1,14,0,0,0
KBOX,2010-09-10 06:00:00+00,2,14,0,0,0
KCXX,2010-09-10 06:00:00+00,1,14,-1.41354,-3.08632,15.45634
KCXX,2010-09-10 06:00:00+00,2,14,0,0,0
KENX,2010-09-10 06:00:00+00,1,14,0,0,0
KENX,2010-09-10 06:00:00+00,2,14,0,0,0
KGYX,2010-09-10 06:00:00+00,1,14,0,0,0
KGYX,2010-09-10 06:00:00+00,2,14,0,0,0
KOKX,2010-09-10 06:00:00+00,1,14,-2.23954,-4.22169,2.37713
KOKX,2010-09-10 06:00:00+00,2,14,0,0,0
KBGM,2010-09-10 06:20:00+00,1,14,0,0,0
KBGM,2010-09-10 06:20:00+00,2,14,0,0,0
KBUF,2010-09-10 06:20:00+00,1,14,-1.27221,-1.96437,19.20882
KBUF,2010-09-10 06:20:00+00,2,14,0,0,0
KCCX,2010-09-10 06:20:00+00,1,14,0,0,0
KCCX,2010-09-10 06:20:00+00,2,14,0,0,0
KDIX,2010-09-10 06:20:00+00,1,14,-5.29001,-4.05040,9.95226
KDIX,2010-09-10 06:20:00+00,2,14,-2.05127,-2.81424,1.02833
KDOX,2010-09-10 06:20:00+00,1,14,-3.89841,-4.73227,3.01137
KDOX,2010-09-10 06:20:00+00,2,14,0,0,0
KLWX,2010-09-10 06:20:00+00,1,14,-2.16931,-5.61934,1.75151
KLWX,2010-09-10 06:20:00+00,2,14,0,0,0
KTYX,2010-09-10 06:20:00+00,1,14,0,0,0
KTYX,2010-09-10 06:20:00+00,2,14,0,0,0
KCBW,2010-09-10 06:40:00+00,1,14,0,0,0
KCBW,2010-09-10 06:40:00+00,2,14,0,0,0
KBOX,2010-09-10 07:00:00+00,1,14,0,0,0
KBOX,2010-09-10 07:00:00+00,2,14,0,0,0
KCXX,2010-09-10 07:00:00+00,1,14,-0.14385,-2.80135,5.52826
KCXX,2010-09-10 07:00:00+00,2,14,0,0,0
KDIX,2010-09-10 07:00:00+00,1,14,-5.61777,-4.70599,22.76640
KDIX,2010-09-10 07:00:00+00,2,14,-2.25734,-1.57967,2.31775
KENX,2010-09-10 07:00:00+00,1,14,0,0,0
KENX,2010-09-10 07:00:00+00,2,14,0,0,0
KGYX,2010-09-10 07:00:00+00,1,14,0,0,0
KGYX,2010-09-10 07:00:00+00,2,14,0,0,0
KOKX,2010-09-10 07:00:00+00,1,14,-1.83306,-3.90452,1.44466
KOKX,2010-09-10 07:00:00+00,2,14,0,0,0
KBGM,2010-09-10 07:20:00+00,1,14,0,0,0
KBGM,2010-09-10 07:20:00+00,2,14,0,0,0
KBUF,2010-09-10 07:20:00+00,1,14,-2.14061,-2.23144,8.73994
KBUF,2010-09-10 07:20:00+00,2,14,0,0,0
KCCX,2010-09-10 07:20:00+00,1,14,0,0,0
KCCX,2010-09-10 07:20:00+00,2,14,0,0,0
KDOX,2010-09-10 07:20:00+00,1,14,-3.78156,-3.89317,1.59360
KDOX,2010-09-10 07:20:00+00,2,14,0,0,0
KLWX,2010-09-10 07:20:00+00,1,14,0,0,0
KLWX,2010-09-10 07:20:00+00,2,14,0,0,0
KTYX,2010-09-10 07:20:00+00,1,14,0,0,0
KTYX,2010-09-10 07:20:00+00,2,14,0,0,0
KCBW,2010-09-10 07:40:00+00,1,14,0,0,0
KCBW,2010-09-10 07:40:00+00,2,14,0,0,0
KBOX,2010-09-10 08:00:00+00,1,14,0,0,0
KBOX,2010-09-10 08:00:00+00,2,14,0,0,0
KCXX,2010-09-10 08:00:00+00,1,14,0,0,0
KCXX,2010-09-10 08:00:00+00,2,14,0,0,0
KDIX,2010-09-10 08:00:00+00,1,14,-5.87596,-4.14524,11.41212
KDIX,2010-09-10 08:00:00+00,2,14,0,0,0
KENX,2010-09-10 08:00:00+00,1,14,0,0,0
KENX,2010-09-10 08:00:00+00,2,14,0,0,0
KGYX,2010-09-10 08:00:00+00,1,14,0,0,0
KGYX,2010-09-10 08:00:00+00,2,14,0,0,0
KOKX,2010-09-10 08:00:00+00,1,14,0,0,0
KOKX,2010-09-10 08:00:00+00,2,14,0,0,0
KBGM,2010-09-10 08:20:00+00,1,14,0,0,0
KBGM,2010-09-10 08:20:00+00,2,14,0,0,0
KBUF,2010-09-10 08:20:00+00,1,14,-1.84165,-1.17943,7.48922
KBUF,2010-09-10 08:20:00+00,2,14,0,0,0
KCCX,2010-09-10 08:20:00+00,1,14,0,0,0
KCCX,2010-09-10 08:20:00+00,2,14,0,0,0
KDOX,2010-09-10 08:20:00+00,1,14,0,0,0
KDOX,2010-09-10 08:20:00+00,2,14,0,0,0
KLWX,2010-09-10 08:20:00+00,1,14,0,0,0
KLWX,2010-09-10 08:20:00+00,2,14,0,0,0
KTYX,2010-09-10 08:20:00+00,1,14,0,0,0
KTYX,2010-09-10 08:20:00+00,2,14,0,0,0
KCBW,2010-09-10 08:40:00+00,1,14,0,0,0
KCBW,2010-09-10 08:40:00+00,2,14,0,0,0
KBOX,2010-09-10 09:00:00+00,1,14,0,0,0
KBOX,2010-09-10 09:00:00+00,2,14,0,0,0
KCXX,2010-09-10 09:00:00+00,1,14,0,0,0
KCXX,2010-09-10 09:00:00+00,2,14,0,0,0
KDIX,2010-09-10 09:00:00+00,1,14,-4.88447,-3.53114,1.05291
KDIX,2010-09-10 09:00:00+00,2,14,0,0,0
KENX,2010-09-10 09:00:00+00,1,14,0,0,0
KENX,2010-09-10 09:00:00+00,2,14,0,0,0
KGYX,2010-09-10 09:00:00+00,1,14,0,0,0
KGYX,2010-09-10 09:00:00+00,2,14,0,0,0
KOKX,2010-09-10 09:00:00+00,1,14,0,0,0
KOKX,2010-09-10 09:00:00+00,2,14,0,0,0
KBGM,2010-09-10 09:20:00+00,1,14,0,0,0
KBGM,2010-09-10 09:20:00+00,2,14,0,0,0
KCCX,2010-09-10 09:20:00+00,1,14,0,0,0
KCCX,2010-09-10 09:20:00+00,2,14,0,0,0
KDOX,2010-09-10 09:20:00+00,1,14,0,0,0
KDOX,2010-09-10 09:20:00+00,2,14,0,0,0
